INFO:__main__:Starting fhv trip data producer
INFO:__main__:Starting green trip data producer
ERROR:__main__:fhv_producer encountered an error: True
ERROR:__main__:green_producer encountered an error: True
INFO:__main__:Produced {'pickup_location_id': 129, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:51:16', 'dropoff_datetime': '2019-01-01T01:04:10', 'trip_distance': 2.15, 'tip_amount': 2.95, 'fare_amount': 10.5} to topic green-trips partition 0 offset 20
INFO:__main__:Produced {'pickup_location_id': 256, 'passenger_count': 5, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:30:28', 'dropoff_datetime': '2019-01-01T00:41:18', 'trip_distance': 2.18, 'tip_amount': 3.24, 'fare_amount': 9.5} to topic green-trips partition 0 offset 21
INFO:__main__:Produced {'pickup_location_id': 66, 'passenger_count': 5, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:26:59', 'dropoff_datetime': '2019-01-01T01:01:33', 'trip_distance': 6.66, 'tip_amount': 0.0, 'fare_amount': 25.5} to topic green-trips partition 0 offset 22
INFO:__main__:Produced {'pickup_location_id': 7, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:39:09', 'dropoff_datetime': '2019-01-01T00:42:32', 'trip_distance': 0.57, 'tip_amount': 0.0, 'fare_amount': 4.5} to topic green-trips partition 0 offset 23
INFO:__main__:Produced {'pickup_location_id': 74, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:35:13', 'dropoff_datetime': '2019-01-01T01:18:53', 'trip_distance': 13.9, 'tip_amount': 0.0, 'fare_amount': 44.0} to topic green-trips partition 0 offset 24
INFO:__main__:Produced {'pickup_location_id': 7, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:35:52', 'dropoff_datetime': '2019-01-01T00:40:00', 'trip_distance': 0.8, 'tip_amount': 0.0, 'fare_amount': 5.0} to topic green-trips partition 0 offset 25
INFO:__main__:Produced {'pickup_location_id': 7, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:48:27', 'dropoff_datetime': '2019-01-01T00:55:49', 'trip_distance': 1.4, 'tip_amount': 0.0, 'fare_amount': 7.0} to topic green-trips partition 0 offset 26
INFO:__main__:Produced {'pickup_location_id': 97, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:01:21', 'dropoff_datetime': '2019-01-01T00:08:45', 'trip_distance': 1.21, 'tip_amount': 0.0, 'fare_amount': 7.0} to topic green-trips partition 0 offset 27
INFO:__main__:Produced {'pickup_location_id': 181, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:24:39', 'dropoff_datetime': '2019-01-01T00:43:17', 'trip_distance': 2.74, 'tip_amount': 2.0, 'fare_amount': 14.0} to topic green-trips partition 0 offset 28
INFO:__main__:Produced {'pickup_location_id': 17, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:44:25', 'dropoff_datetime': '2019-01-01T00:53:03', 'trip_distance': 1.99, 'tip_amount': 2.45, 'fare_amount': 8.5} to topic green-trips partition 0 offset 29
INFO:__main__:Produced {'pickup_location_id': 41, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:44:58', 'dropoff_datetime': '2019-01-01T01:13:46', 'trip_distance': 9.97, 'tip_amount': 0.0, 'fare_amount': 32.0} to topic green-trips partition 0 offset 30
INFO:__main__:Produced {'pickup_location_id': 182, 'passenger_count': 3, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:08:07', 'dropoff_datetime': '2019-01-01T00:18:36', 'trip_distance': 1.36, 'tip_amount': 0.0, 'fare_amount': 8.5} to topic green-trips partition 0 offset 31
INFO:__main__:Produced {'pickup_location_id': 106, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:40:23', 'dropoff_datetime': '2019-01-01T00:56:12', 'trip_distance': 2.8, 'tip_amount': 0.0, 'fare_amount': 13.0} to topic green-trips partition 0 offset 32
INFO:__main__:Produced {'pickup_location_id': 181, 'passenger_count': 6, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:29:46', 'dropoff_datetime': '2019-01-01T00:41:09', 'trip_distance': 1.52, 'tip_amount': 2.06, 'fare_amount': 9.0} to topic green-trips partition 0 offset 33
INFO:__main__:Produced {'pickup_location_id': 106, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:01:17', 'dropoff_datetime': '2019-01-01T00:21:33', 'trip_distance': 3.08, 'tip_amount': 0.0, 'fare_amount': 15.0} to topic green-trips partition 0 offset 34
INFO:__main__:Produced {'pickup_location_id': 97, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:59:07', 'dropoff_datetime': '2019-01-01T01:30:20', 'trip_distance': 12.03, 'tip_amount': 0.0, 'fare_amount': 35.5} to topic green-trips partition 0 offset 35
INFO:__main__:Produced {'pickup_location_id': 223, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:44:31', 'dropoff_datetime': '2019-01-01T01:25:32', 'trip_distance': 13.54, 'tip_amount': 0.0, 'fare_amount': 42.5} to topic green-trips partition 0 offset 36
INFO:__main__:Produced {'pickup_location_id': 95, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:23:15', 'dropoff_datetime': '2019-01-01T01:10:07', 'trip_distance': 10.76, 'tip_amount': 0.0, 'fare_amount': 40.0} to topic green-trips partition 0 offset 37
INFO:__main__:Produced {'pickup_location_id': 75, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:33:41', 'dropoff_datetime': '2019-01-01T00:54:35', 'trip_distance': 4.58, 'tip_amount': 3.56, 'fare_amount': 16.5} to topic green-trips partition 0 offset 38
INFO:__main__:Produced {'pickup_location_id': 119, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:33:40', 'dropoff_datetime': '2019-01-01T00:59:29', 'trip_distance': 5.52, 'tip_amount': 0.0, 'fare_amount': 21.5} to topic green-trips partition 0 offset 39
INFO:__main__:Produced {'pickup_location_id': 255, 'passenger_count': 3, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:31:28', 'dropoff_datetime': '2019-01-01T00:57:27', 'trip_distance': 10.98, 'tip_amount': 6.0, 'fare_amount': 30.0} to topic green-trips partition 0 offset 40
INFO:__main__:Produced {'pickup_location_id': 66, 'passenger_count': 2, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:19:22', 'dropoff_datetime': '2019-01-01T00:31:33', 'trip_distance': 1.4, 'tip_amount': 0.0, 'fare_amount': 9.5} to topic green-trips partition 0 offset 41
INFO:__main__:Produced {'pickup_location_id': 49, 'passenger_count': 2, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:45:24', 'dropoff_datetime': '2019-01-01T01:09:30', 'trip_distance': 4.1, 'tip_amount': 0.0, 'fare_amount': 18.0} to topic green-trips partition 0 offset 42
INFO:__main__:Produced {'pickup_location_id': 173, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T01:00:28', 'dropoff_datetime': '2019-01-01T01:16:36', 'trip_distance': 2.26, 'tip_amount': 0.0, 'fare_amount': 11.5} to topic green-trips partition 0 offset 43
INFO:__main__:Produced {'pickup_location_id': 166, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:41:11', 'dropoff_datetime': '2019-01-01T00:48:14', 'trip_distance': 1.43, 'tip_amount': 2.49, 'fare_amount': 7.0} to topic green-trips partition 0 offset 44
INFO:__main__:Produced {'pickup_location_id': 223, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:55:18', 'dropoff_datetime': '2019-01-01T00:58:08', 'trip_distance': 0.76, 'tip_amount': 1.45, 'fare_amount': 4.5} to topic green-trips partition 0 offset 45
INFO:__main__:Produced {'pickup_location_id': 145, 'passenger_count': 4, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:18:13', 'dropoff_datetime': '2019-01-01T00:32:22', 'trip_distance': 2.5, 'tip_amount': 0.0, 'fare_amount': 11.0} to topic green-trips partition 0 offset 46
INFO:__main__:Produced {'pickup_location_id': 146, 'passenger_count': 2, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:59:59', 'dropoff_datetime': '2019-01-01T01:12:23', 'trip_distance': 2.8, 'tip_amount': 2.65, 'fare_amount': 12.0} to topic green-trips partition 0 offset 47
INFO:__main__:Produced {'pickup_location_id': 145, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:51:48', 'dropoff_datetime': '2019-01-01T00:51:58', 'trip_distance': 0.0, 'tip_amount': 10.0, 'fare_amount': 50.0} to topic green-trips partition 0 offset 48
INFO:__main__:Produced {'pickup_location_id': 260, 'passenger_count': 4, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:39:04', 'dropoff_datetime': '2019-01-01T00:52:06', 'trip_distance': 3.14, 'tip_amount': 0.0, 'fare_amount': 13.0} to topic green-trips partition 0 offset 49
INFO:__main__:Produced {'pickup_location_id': 116, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:47:37', 'dropoff_datetime': '2019-01-01T00:50:08', 'trip_distance': 0.74, 'tip_amount': 0.0, 'fare_amount': 4.5} to topic green-trips partition 0 offset 50
INFO:__main__:Produced {'pickup_location_id': 256, 'passenger_count': 2, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:50:16', 'dropoff_datetime': '2019-01-01T01:25:21', 'trip_distance': 8.9, 'tip_amount': 0.0, 'fare_amount': 31.0} to topic green-trips partition 0 offset 51
INFO:__main__:Produced {'pickup_location_id': 112, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:23:10', 'dropoff_datetime': '2019-01-01T00:39:03', 'trip_distance': 4.65, 'tip_amount': 3.46, 'fare_amount': 16.0} to topic green-trips partition 0 offset 52
INFO:__main__:Produced {'pickup_location_id': 17, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:55:59', 'dropoff_datetime': '2019-01-01T01:48:31', 'trip_distance': 9.98, 'tip_amount': 0.0, 'fare_amount': 41.0} to topic green-trips partition 0 offset 53
INFO:__main__:Produced {'pickup_location_id': 242, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:39:43', 'dropoff_datetime': '2019-01-01T00:54:21', 'trip_distance': 2.2, 'tip_amount': 0.0, 'fare_amount': 11.5} to topic green-trips partition 0 offset 54
INFO:__main__:Produced {'pickup_location_id': 42, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:10:35', 'dropoff_datetime': '2019-01-01T00:32:51', 'trip_distance': 6.44, 'tip_amount': 0.0, 'fare_amount': 22.0} to topic green-trips partition 0 offset 55
INFO:__main__:Produced {'pickup_location_id': 37, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:12:41', 'dropoff_datetime': '2019-01-01T00:29:20', 'trip_distance': 2.22, 'tip_amount': 0.0, 'fare_amount': 11.5} to topic green-trips partition 0 offset 56
INFO:__main__:Produced {'pickup_location_id': 80, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:44:36', 'dropoff_datetime': '2019-01-01T00:58:31', 'trip_distance': 2.27, 'tip_amount': 0.0, 'fare_amount': 11.0} to topic green-trips partition 0 offset 57
INFO:__main__:Produced {'pickup_location_id': 255, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T01:02:35', 'dropoff_datetime': '2019-01-01T01:07:00', 'trip_distance': 0.88, 'tip_amount': 0.0, 'fare_amount': 5.0} to topic green-trips partition 0 offset 58
INFO:__main__:Produced {'pickup_location_id': 66, 'passenger_count': 2, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:08:09', 'dropoff_datetime': '2019-01-01T00:35:40', 'trip_distance': 8.73, 'tip_amount': 0.0, 'fare_amount': 28.5} to topic green-trips partition 0 offset 59
INFO:__main__:Produced {'pickup_location_id': 25, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:46:27', 'dropoff_datetime': '2019-01-01T01:22:54', 'trip_distance': 7.0, 'tip_amount': 6.36, 'fare_amount': 30.5} to topic green-trips partition 0 offset 60
INFO:__main__:Produced {'pickup_location_id': 116, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:00:51', 'dropoff_datetime': '2019-01-01T00:03:15', 'trip_distance': 0.4, 'tip_amount': 0.0, 'fare_amount': 3.5} to topic green-trips partition 0 offset 61
INFO:__main__:Produced {'pickup_location_id': 42, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:52:26', 'dropoff_datetime': '2019-01-01T00:59:56', 'trip_distance': 1.4, 'tip_amount': 0.0, 'fare_amount': 7.0} to topic green-trips partition 0 offset 62
INFO:__main__:Produced {'pickup_location_id': 42, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:10:43', 'dropoff_datetime': '2019-01-01T00:15:37', 'trip_distance': 0.89, 'tip_amount': 1.36, 'fare_amount': 5.5} to topic green-trips partition 0 offset 63
INFO:__main__:Produced {'pickup_location_id': 74, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:18:39', 'dropoff_datetime': '2019-01-01T00:21:48', 'trip_distance': 0.29, 'tip_amount': 0.0, 'fare_amount': 4.0} to topic green-trips partition 0 offset 64
INFO:__main__:Produced {'pickup_location_id': 95, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:12:45', 'dropoff_datetime': '2019-01-01T00:25:00', 'trip_distance': 2.11, 'tip_amount': 0.0, 'fare_amount': 10.5} to topic green-trips partition 0 offset 65
INFO:__main__:Produced {'pickup_location_id': 95, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:43:00', 'dropoff_datetime': '2019-01-01T00:53:38', 'trip_distance': 3.4, 'tip_amount': 0.0, 'fare_amount': 12.0} to topic green-trips partition 0 offset 66
INFO:__main__:Produced {'pickup_location_id': 260, 'passenger_count': 3, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:39:51', 'dropoff_datetime': '2019-01-01T00:43:05', 'trip_distance': 0.75, 'tip_amount': 0.0, 'fare_amount': 4.5} to topic green-trips partition 0 offset 67
INFO:__main__:Produced {'pickup_location_id': 228, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:52:32', 'dropoff_datetime': '2019-01-01T00:55:48', 'trip_distance': 0.7, 'tip_amount': 0.0, 'fare_amount': 4.5} to topic green-trips partition 0 offset 68
INFO:__main__:Produced {'pickup_location_id': 42, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:26:04', 'dropoff_datetime': '2019-01-01T00:42:16', 'trip_distance': 7.1, 'tip_amount': 4.55, 'fare_amount': 21.5} to topic green-trips partition 0 offset 69
INFO:__main__:Produced {'pickup_location_id': 152, 'passenger_count': 1, 'vendor_id': '1', 'pickup_datetime': '2019-01-01T00:36:35', 'dropoff_datetime': '2019-01-01T00:54:14', 'trip_distance': 6.3, 'tip_amount': 0.0, 'fare_amount': 20.5} to topic green-trips partition 0 offset 70
INFO:__main__:Produced {'pickup_location_id': 25, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:05:29', 'dropoff_datetime': '2019-01-01T00:07:24', 'trip_distance': 0.76, 'tip_amount': 0.0, 'fare_amount': 4.0} to topic green-trips partition 0 offset 71
INFO:__main__:Produced {'pickup_location_id': 66, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:24:54', 'dropoff_datetime': '2019-01-01T00:27:14', 'trip_distance': 0.24, 'tip_amount': 0.0, 'fare_amount': 3.5} to topic green-trips partition 0 offset 72
INFO:__main__:Produced {'pickup_location_id': 33, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:28:31', 'dropoff_datetime': '2019-01-01T00:30:24', 'trip_distance': 0.39, 'tip_amount': 0.0, 'fare_amount': 3.5} to topic green-trips partition 0 offset 73
INFO:__main__:Produced {'pickup_location_id': 33, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:31:27', 'dropoff_datetime': '2019-01-01T00:56:07', 'trip_distance': 11.73, 'tip_amount': 6.96, 'fare_amount': 33.5} to topic green-trips partition 0 offset 74
INFO:__main__:Produced {'pickup_location_id': 25, 'passenger_count': 5, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:38:22', 'dropoff_datetime': '2019-01-01T00:50:32', 'trip_distance': 4.66, 'tip_amount': 3.36, 'fare_amount': 15.5} to topic green-trips partition 0 offset 75
INFO:__main__:Produced {'pickup_location_id': 80, 'passenger_count': 5, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:51:47', 'dropoff_datetime': '2019-01-01T01:04:03', 'trip_distance': 1.58, 'tip_amount': 2.16, 'fare_amount': 9.5} to topic green-trips partition 0 offset 76
INFO:__main__:Produced {'pickup_location_id': 116, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:06:52', 'dropoff_datetime': '2019-01-01T00:23:35', 'trip_distance': 2.58, 'tip_amount': 0.0, 'fare_amount': 13.0} to topic green-trips partition 0 offset 77
INFO:__main__:Produced {'pickup_location_id': 75, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:29:33', 'dropoff_datetime': '2019-01-01T00:37:17', 'trip_distance': 1.67, 'tip_amount': 0.0, 'fare_amount': 8.0} to topic green-trips partition 0 offset 78
INFO:__main__:Produced {'pickup_location_id': 41, 'passenger_count': 1, 'vendor_id': '2', 'pickup_datetime': '2019-01-01T00:51:56', 'dropoff_datetime': '2019-01-02T00:37:17', 'trip_distance': 1.61, 'tip_amount': 1.4, 'fare_amount': 8.0} to topic green-trips partition 0 offset 79
